day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed
5,1018.4,20.3,18.4,15.7,15.8,85,91,1,0.1,70.0,41.3
6,1021.3,18.1,16.6,15.4,12.2,76,91,1,0.1,10.0,28.4
7,1023.1,19.3,17.3,15.4,12.1,72,86,0,0.9,10.0,21.8
8,1022.2,19.0,18.0,17.0,14.1,78,90,1,0.0,30.0,28.5
9,1016.8,18.9,17.7,16.9,16.8,95,95,1,0.0,60.0,35.1
10,1015.5,20.9,19.3,17.6,16.8,86,80,1,5.1,20.0,10.2
11,1016.4,23.0,19.9,17.9,15.5,76,72,0,6.3,60.0,20.7
12,1016.2,20.7,20.0,19.4,17.1,83,88,0,0.2,70.0,39.5
13,1016.4,21.0,20.4,19.7,17.8,85,83,1,0.0,70.0,30.3
14,1016.6,21.3,20.4,19.1,17.3,82,84,1,0.4,50.0,20.3
15,1019.0,20.4,18.4,16.0,12.6,69,70,1,2.2,10.0,26.8
16,1022.5,17.2,15.2,13.4,4.3,49,11,0,9.3,10.0,48.0
17,1025.9,15.2,13.2,11.5,-0.4,39,25,0,9.1,20.0,35.6
18,1026.4,16.5,13.9,11.3,3.1,48,11,0,9.5,40.0,25.2
19,1025.4,18.2,16.2,13.8,8.7,62,71,0,2.1,30.0,29.0
20,1022.5,18.6,17.6,17.0,12.9,75,88,1,0.0,40.0,19.0
21,1021.3,21.1,19.4,17.1,16.2,82,87,1,1.6,50.0,22.5
22,1020.3,20.6,19.9,18.7,17.6,87,88,1,0.3,60.0,27.3
23,1017.8,22.3,21.1,19.8,19.6,91,79,1,0.0,40.0,15.0
24,1016.8,24.7,22.3,21.1,20.7,91,70,1,6.0,40.0,9.4
25,1020.4,21.4,18.2,16.1,13.5,75,89,1,0.7,10.0,27.6
26,1020.6,19.7,17.9,16.9,13.3,74,87,0,0.6,30.0,21.6
27,1022.7,18.8,17.7,16.9,15.0,84,90,1,0.0,30.0,18.4
28,1026.6,18.6,17.3,16.3,12.8,75,85,1,1.0,20.0,25.9
29,1025.9,18.9,17.7,16.4,13.3,75,78,1,4.6,70.0,33.4
30,1025.3,19.2,17.3,15.2,13.3,78,86,1,1.2,20.0,20.9
31,1026.4,20.5,17.8,15.5,13.0,74,66,0,5.7,20.0,23.3
